Employee_ID*,Date*,Shift,Schedule_In,Schedule_Out,Attendance_Code,Check_In,Check_Out
AK19090781,2023-09-22,A1,07:10,16:15,H,05:46,21:36
AK18090681,2023-09-22,A1,07:10,16:15,H,07:06,
AK18090682,2023-09-22,A1,07:10,16:15,H,07:07,17:00
AK18090683,2023-09-22,A1,07:10,16:15,H,06:56,
AK18090684,2023-09-22,A1,07:10,16:15,H,06:35,18:51
AK18090685,2023-09-22,A1,07:10,16:15,H,06:07,18:34
AK18090686,2023-09-22,A1,07:10,16:15,H,06:30,18:20
AK18090687,2023-09-22,A1,07:10,16:15,H,06:31,16:53
AK18090689,2023-09-22,A1,07:10,16:15,H,06:51,17:52
AK18090690,2023-09-22,A1,07:10,16:15,H,06:46,17:56
AK18090691,2023-09-22,A1,07:10,16:15,H,07:01,17:53
AK18090692,2023-09-22,A1,07:10,16:15,H,07:00,17:01
AK18090693,2023-09-22,A1,07:10,16:15,,,
AK18090694,2023-09-22,A1,07:10,16:15,H,04:48,17:28
AK18090695,2023-09-22,A1,07:10,16:15,H,04:40,20:51
AK18090698,2023-09-22,A1,07:10,16:15,H,05:48,19:40
AK18090702,2023-09-22,A1,07:10,16:15,DNS,,
AK19110793,2023-09-22,A1,07:10,16:15,H,06:52,20:03
AK19110794,2023-09-22,A1,07:10,16:15,H,06:33,18:37
AK20050811,2023-09-22,A1,07:10,16:15,H,06:43,21:54
AK20110833,2023-09-22,A1,07:10,16:15,H,05:56,16:25
AK20110834,2023-09-22,A1,07:10,16:15,H,06:35,18:23
AK20110835,2023-09-22,A1,07:10,16:15,H,07:23,18:15
AK20110836,2023-09-22,A1,07:10,16:15,H,07:03,17:39
AK20120855,2023-09-22,A1,07:10,16:15,H,06:54,19:30
AK22040919,2023-09-22,A1,07:10,16:15,H,06:26,18:53
AK18090202,2023-09-22,A1,07:10,16:15,H,04:39,
AK22100940,2023-09-22,A1,07:10,16:15,H,06:35,17:34
AK23030965,2023-09-22,A1,07:10,16:15,DNS,,
AK19090781,2023-09-23,A1,07:10,16:15,H,04:47,23:07
AK18090681,2023-09-23,A1,07:10,16:15,H,07:31,20:43
AK18090682,2023-09-23,A1,07:10,16:15,H,09:31,15:26
AK18090683,2023-09-23,A1,07:10,16:15,H,06:21,16:54
AK18090684,2023-09-23,A1,07:10,16:15,DNS,,
AK18090685,2023-09-23,A1,07:10,16:15,H,07:39,18:15
AK18090686,2023-09-23,A1,07:10,16:15,H,05:47,21:10
AK18090687,2023-09-23,A1,07:10,16:15,H,06:11,
AK18090689,2023-09-23,A1,07:10,16:15,H,05:44,19:39
AK18090690,2023-09-23,A1,07:10,16:15,H,06:17,17:50
AK18090691,2023-09-23,A1,07:10,16:15,CT,,
AK18090692,2023-09-23,A1,07:10,16:15,H,05:58,19:32
AK18090693,2023-09-23,A1,07:10,16:15,,,
AK18090694,2023-09-23,A1,07:10,16:15,H,,17:04
AK18090695,2023-09-23,A1,07:10,16:15,H,06:53,23:34
AK18090698,2023-09-23,A1,07:10,16:15,H,04:42,23:30
AK18090702,2023-09-23,A1,07:10,16:15,H,06:44,09:11
AK19110793,2023-09-23,A1,07:10,16:15,H,06:05,20:26
AK19110794,2023-09-23,A1,07:10,16:15,H,06:50,16:34
AK20050811,2023-09-23,A1,07:10,16:15,H,05:55,23:06
AK20110833,2023-09-23,A1,07:10,16:15,H,,
AK20110834,2023-09-23,A1,07:10,16:15,H,,
AK20110835,2023-09-23,A1,07:10,16:15,H,,
AK20110836,2023-09-23,A1,07:10,16:15,H,,
AK20120855,2023-09-23,A1,07:10,16:15,H,07:04,17:53
AK22040919,2023-09-23,A1,07:10,16:15,DNS,,
AK18090202,2023-09-23,A1,07:10,16:15,H,,
AK22100940,2023-09-23,A1,07:10,16:15,,,
AK23030965,2023-09-23,A1,07:10,16:15,H,06:23,23:37
AK19090781,2023-09-24,dayoff,00:00,00:00,H,06:21,12:10
AK18090681,2023-09-24,dayoff,00:00,00:00,H,05:07,11:59
AK18090682,2023-09-24,dayoff,00:00,00:00,H,05:56,08:27
AK18090683,2023-09-24,dayoff,00:00,00:00,,,
AK18090684,2023-09-24,dayoff,00:00,00:00,,,
AK18090685,2023-09-24,dayoff,00:00,00:00,,,
AK18090686,2023-09-24,dayoff,00:00,00:00,,,
AK18090687,2023-09-24,dayoff,00:00,00:00,,,
AK18090689,2023-09-24,dayoff,00:00,00:00,,,
AK18090690,2023-09-24,dayoff,00:00,00:00,,,
AK18090691,2023-09-24,dayoff,00:00,00:00,,,
AK18090692,2023-09-24,dayoff,00:00,00:00,,,
AK18090693,2023-09-24,dayoff,00:00,00:00,,,
AK18090694,2023-09-24,dayoff,00:00,00:00,,,
AK18090695,2023-09-24,dayoff,00:00,00:00,H,05:46,13:11
AK18090698,2023-09-24,dayoff,00:00,00:00,H,04:54,11:31
AK18090702,2023-09-24,dayoff,00:00,00:00,,,
AK19110793,2023-09-24,dayoff,00:00,00:00,H,,10:48
AK19110794,2023-09-24,dayoff,00:00,00:00,H,05:12,09:37
AK20050811,2023-09-24,dayoff,00:00,00:00,H,,09:08
AK20110833,2023-09-24,dayoff,00:00,00:00,,,
AK20110834,2023-09-24,dayoff,00:00,00:00,,,
AK20110835,2023-09-24,dayoff,00:00,00:00,,,
AK20110836,2023-09-24,dayoff,00:00,00:00,,,
AK20120855,2023-09-24,dayoff,00:00,00:00,H,04:56,06:16
AK22040919,2023-09-24,dayoff,00:00,00:00,,,
AK18090202,2023-09-24,dayoff,00:00,00:00,,,
AK22100940,2023-09-24,dayoff,00:00,00:00,,,
AK23030965,2023-09-24,dayoff,00:00,00:00,H,05:43,09:55
AK19090781,2023-09-25,A1,07:10,16:15,CT,,
AK18090681,2023-09-25,A1,07:10,16:15,H,07:00,18:55
AK18090682,2023-09-25,A1,07:10,16:15,H,07:06,17:50
AK18090683,2023-09-25,A1,07:10,16:15,H,06:45,16:59
AK18090684,2023-09-25,A1,07:10,16:15,H,06:52,19:18
AK18090685,2023-09-25,A1,07:10,16:15,,,
AK18090686,2023-09-25,A1,07:10,16:15,H,06:29,18:57
AK18090687,2023-09-25,A1,07:10,16:15,H,06:46,18:34
AK18090689,2023-09-25,A1,07:10,16:15,H,06:48,18:04
AK18090690,2023-09-25,A1,07:10,16:15,H,06:44,18:57
AK18090691,2023-09-25,A1,07:10,16:15,H,06:59,
AK18090692,2023-09-25,A1,07:10,16:15,H,07:05,17:01
AK18090693,2023-09-25,A1,07:10,16:15,,,
AK18090694,2023-09-25,A1,07:10,16:15,H,07:05,
AK18090695,2023-09-25,A1,07:10,16:15,H,06:26,16:30
AK18090698,2023-09-25,A1,07:10,16:15,H,05:16,16:19
AK18090702,2023-09-25,A1,07:10,16:15,H,06:30,18:47
AK19110793,2023-09-25,A1,07:10,16:15,H,06:45,16:39
AK19110794,2023-09-25,A1,07:10,16:15,H,07:04,
AK20050811,2023-09-25,A1,07:10,16:15,H,06:52,18:52
AK20110833,2023-09-25,A1,07:10,16:15,H,06:31,19:50
AK20110834,2023-09-25,A1,07:10,16:15,H,06:58,18:39
AK20110835,2023-09-25,A1,07:10,16:15,H,06:59,18:33
AK20110836,2023-09-25,A1,07:10,16:15,H,07:05,18:59
AK20120855,2023-09-25,A1,07:10,16:15,H,06:29,18:59
AK22040919,2023-09-25,A1,07:10,16:15,H,07:05,19:51
AK18090202,2023-09-25,A1,07:10,16:15,H,07:04,16:59
AK22100940,2023-09-25,A1,07:10,16:15,H,06:57,17:12
AK23030965,2023-09-25,A1,07:10,16:15,H,06:48,16:16
AK18090202,2023-09-26,A1,07:10,16:15,H,07:03,18:08
AK18090681,2023-09-26,A1,07:10,16:15,H,07:03,18:53
AK18090682,2023-09-26,A1,07:10,16:15,H,07:05,
AK18090683,2023-09-26,A1,07:10,16:15,H,06:41,17:55
AK18090684,2023-09-26,A1,07:10,16:15,H,06:48,18:50
AK18090685,2023-09-26,A1,07:10,16:15,CT,,
AK18090686,2023-09-26,A1,07:10,16:15,H,06:32,19:23
AK18090687,2023-09-26,A1,07:10,16:15,H,06:47,19:24
AK18090689,2023-09-26,A1,07:10,16:15,H,06:47,20:55
AK18090690,2023-09-26,A1,07:10,16:15,H,06:52,18:54
AK18090691,2023-09-26,A1,07:10,16:15,H,07:00,18:58
AK18090692,2023-09-26,A1,07:10,16:15,H,07:07,17:10
AK18090693,2023-09-26,A1,07:10,16:15,H,05:00,19:47
AK18090694,2023-09-26,A1,07:10,16:15,,,
AK18090695,2023-09-26,A1,07:10,16:15,H,05:05,16:21
AK18090698,2023-09-26,A1,07:10,16:15,H,04:57,19:15
AK18090702,2023-09-26,A1,07:10,16:15,DNS,06:35,
AK19090781,2023-09-26,A1,07:10,16:15,H,06:30,16:28
AK19110793,2023-09-26,A1,07:10,16:15,H,06:45,
AK19110794,2023-09-26,A1,07:10,16:15,H,06:23,19:17
AK20050811,2023-09-26,A1,07:10,16:15,H,06:08,19:51
AK20110833,2023-09-26,A1,07:10,16:15,H,06:19,19:14
AK20110834,2023-09-26,A1,07:10,16:15,H,05:10,18:25
AK20110835,2023-09-26,A1,07:10,16:15,H,07:08,19:15
AK20110836,2023-09-26,A1,07:10,16:15,H,,18:58
AK20120855,2023-09-26,A1,07:10,16:15,H,06:12,20:02
AK22040919,2023-09-26,A1,07:10,16:15,H,07:06,18:51
AK22100940,2023-09-26,A1,07:10,16:15,H,06:47,18:20
AK23030965,2023-09-26,A1,07:10,16:15,H,07:00,17:20
AK19090781,2023-09-27,A1,07:10,16:15,H,06:04,19:02
AK18090681,2023-09-27,A1,07:10,16:15,H,06:27,18:49
AK18090682,2023-09-27,A1,07:10,16:15,H,07:03,17:09
AK18090683,2023-09-27,A1,07:10,16:15,H,06:46,17:54
AK18090684,2023-09-27,A1,07:10,16:15,H,06:41,19:11
AK18090685,2023-09-27,A1,07:10,16:15,H,07:01,18:39
AK18090686,2023-09-27,A1,07:10,16:15,H,06:16,19:31
AK18090687,2023-09-27,A1,07:10,16:15,H,06:43,19:26
AK18090689,2023-09-27,A1,07:10,16:15,H,06:50,18:12
AK18090690,2023-09-27,A1,07:10,16:15,H,07:00,18:48
AK18090691,2023-09-27,A1,07:10,16:15,H,07:01,20:04
AK18090692,2023-09-27,A1,07:10,16:15,H,07:09,16:52
AK18090693,2023-09-27,A1,07:10,16:15,H,04:51,
AK18090694,2023-09-27,A1,07:10,16:15,,,
AK18090695,2023-09-27,A1,07:10,16:15,H,05:50,18:49
AK18090698,2023-09-27,A1,07:10,16:15,CT,,
AK18090702,2023-09-27,A1,07:10,16:15,DNS,,
AK19110793,2023-09-27,A1,07:10,16:15,DNS,,
AK19110794,2023-09-27,A1,07:10,16:15,H,06:31,19:00
AK20050811,2023-09-27,A1,07:10,16:15,H,06:00,18:20
AK20110833,2023-09-27,A1,07:10,16:15,H,06:31,19:16
AK20110834,2023-09-27,A1,07:10,16:15,H,06:37,18:32
AK20110835,2023-09-27,A1,07:10,16:15,H,07:05,19:33
AK20110836,2023-09-27,A1,07:10,16:15,H,07:06,20:00
AK20120855,2023-09-27,A1,07:10,16:15,H,06:47,19:55
AK22040919,2023-09-27,A1,07:10,16:15,H,07:07,17:12
AK18090202,2023-09-27,A1,07:10,16:15,H,06:59,18:43
AK22100940,2023-09-27,A1,07:10,16:15,H,06:51,16:55
AK23030965,2023-09-27,A1,07:10,16:15,H,04:54,16:50
AK19090781,2023-09-28,National Holiday,00:00,00:00,,,
AK18090681,2023-09-28,National Holiday,00:00,00:00,,,
AK18090682,2023-09-28,National Holiday,00:00,00:00,,,
AK18090683,2023-09-28,National Holiday,00:00,00:00,,,
AK18090684,2023-09-28,National Holiday,00:00,00:00,,,
AK18090685,2023-09-28,National Holiday,00:00,00:00,,,
AK18090686,2023-09-28,National Holiday,00:00,00:00,,,
AK18090687,2023-09-28,National Holiday,00:00,00:00,,,
AK18090689,2023-09-28,National Holiday,00:00,00:00,,,
AK18090690,2023-09-28,National Holiday,00:00,00:00,,,
AK18090691,2023-09-28,National Holiday,00:00,00:00,,,
AK18090692,2023-09-28,National Holiday,00:00,00:00,,,
AK18090693,2023-09-28,National Holiday,00:00,00:00,,,
AK18090694,2023-09-28,National Holiday,00:00,00:00,,,
AK18090695,2023-09-28,National Holiday,00:00,00:00,,,
AK18090698,2023-09-28,National Holiday,00:00,00:00,,,
AK18090702,2023-09-28,National Holiday,00:00,00:00,,,
AK19110793,2023-09-28,National Holiday,00:00,00:00,,,
AK19110794,2023-09-28,National Holiday,00:00,00:00,,,
AK20050811,2023-09-28,National Holiday,00:00,00:00,,,
AK20110833,2023-09-28,National Holiday,00:00,00:00,H,06:26,
AK20110834,2023-09-28,National Holiday,00:00,00:00,,,
AK20110835,2023-09-28,National Holiday,00:00,00:00,,,
AK20110836,2023-09-28,National Holiday,00:00,00:00,,,
AK20120855,2023-09-28,National Holiday,00:00,00:00,,,
AK22040919,2023-09-28,National Holiday,00:00,00:00,,,
AK18090202,2023-09-28,National Holiday,00:00,00:00,,,
AK22100940,2023-09-28,National Holiday,00:00,00:00,,,
AK23030965,2023-09-28,National Holiday,00:00,00:00,,,
AK19090781,2023-09-29,A1,07:10,16:15,DNS,,
AK18090681,2023-09-29,A1,07:10,16:15,H,07:10,16:15
AK18090682,2023-09-29,A1,07:10,16:15,H,07:02,16:38
AK18090683,2023-09-29,A1,07:10,16:15,H,06:42,16:25
AK18090684,2023-09-29,A1,07:10,16:15,H,06:35,16:39
AK18090685,2023-09-29,A1,07:10,16:15,H,06:20,18:04
AK18090686,2023-09-29,A1,07:10,16:15,H,06:31,16:24
AK18090687,2023-09-29,A1,07:10,16:15,DNS,,
AK18090689,2023-09-29,A1,07:10,16:15,H,06:50,16:58
AK18090690,2023-09-29,A1,07:10,16:15,H,06:48,16:31
AK18090691,2023-09-29,A1,07:10,16:15,H,06:45,18:49
AK18090692,2023-09-29,A1,07:10,16:15,H,06:53,
AK18090693,2023-09-29,A1,07:10,16:15,,,
AK18090694,2023-09-29,A1,07:10,16:15,,,
AK18090695,2023-09-29,A1,07:10,16:15,H,06:09,18:46
AK18090698,2023-09-29,A1,07:10,16:15,CT,,
AK18090702,2023-09-29,A1,07:10,16:15,DNS,06:35,
AK19110793,2023-09-29,A1,07:10,16:15,DNS,,
AK19110794,2023-09-29,A1,07:10,16:15,H,06:01,18:33
AK20050811,2023-09-29,A1,07:10,16:15,DNS,07:03,
AK20110833,2023-09-29,A1,07:10,16:15,H,,18:18
AK20110834,2023-09-29,A1,07:10,16:15,H,06:58,18:11
AK20110835,2023-09-29,A1,07:10,16:15,H,07:01,16:52
AK20110836,2023-09-29,A1,07:10,16:15,H,07:06,18:28
AK20120855,2023-09-29,A1,07:10,16:15,,,
AK22040919,2023-09-29,A1,07:10,16:15,H,07:08,18:49
AK18090202,2023-09-29,A1,07:10,16:15,H,07:06,19:01
AK22100940,2023-09-29,A1,07:10,16:15,H,06:58,16:26
AK23030965,2023-09-29,A1,07:10,16:15,H,06:38,16:52
AK19090781,2023-09-30,dayoff,00:00,00:00,,,
AK18090681,2023-09-30,dayoff,00:00,00:00,,,
AK18090682,2023-09-30,dayoff,00:00,00:00,,,
AK18090683,2023-09-30,dayoff,00:00,00:00,,,
AK18090684,2023-09-30,dayoff,00:00,00:00,,,
AK18090685,2023-09-30,dayoff,00:00,00:00,,,
AK18090686,2023-09-30,dayoff,00:00,00:00,,,
AK18090687,2023-09-30,dayoff,00:00,00:00,,,
AK18090689,2023-09-30,dayoff,00:00,00:00,,,
AK18090690,2023-09-30,dayoff,00:00,00:00,,,
AK18090691,2023-09-30,dayoff,00:00,00:00,,,
AK18090692,2023-09-30,dayoff,00:00,00:00,,,
AK18090693,2023-09-30,dayoff,00:00,00:00,,,
AK18090694,2023-09-30,dayoff,00:00,00:00,,,
AK18090695,2023-09-30,dayoff,00:00,00:00,,,
AK18090698,2023-09-30,dayoff,00:00,00:00,,,
AK18090702,2023-09-30,dayoff,00:00,00:00,,,
AK19110793,2023-09-30,dayoff,00:00,00:00,,,
AK19110794,2023-09-30,dayoff,00:00,00:00,,,
AK20050811,2023-09-30,dayoff,00:00,00:00,,,
AK20110833,2023-09-30,dayoff,00:00,00:00,,,
AK20110834,2023-09-30,dayoff,00:00,00:00,,,
AK20110835,2023-09-30,dayoff,00:00,00:00,,,
AK20110836,2023-09-30,dayoff,00:00,00:00,,,
AK20120855,2023-09-30,dayoff,00:00,00:00,,,
AK22040919,2023-09-30,dayoff,00:00,00:00,,,
AK18090202,2023-09-30,dayoff,00:00,00:00,,,
AK22100940,2023-09-30,dayoff,00:00,00:00,,,
AK23030965,2023-09-30,dayoff,00:00,00:00,,,
